2026-02-24 08:53:14 | INFO | agenticNet.langgraph_agent | ✅ Model supports tool calling (80 tools bound)
2026-02-24 08:53:19 | INFO | agenticNet.langgraph_agent | ✅ Model supports tool calling (80 tools bound)
2026-02-24 08:53:23 | INFO | agenticNet.langgraph_agent | ✅ Model supports tool calling (80 tools bound)
2026-02-24 09:03:33 | INFO | agenticNet.log_watcher | 🔍 Log watcher started — monitoring 2 devices
2026-02-24 09:17:02 | INFO | agenticNet.langgraph_agent | ✅ Model supports tool calling (80 tools bound)
2026-02-24 09:17:11 | INFO | agenticNet.langgraph_agent | ✅ Model supports tool calling (80 tools bound)
2026-02-24 09:18:17 | INFO | agenticNet.langgraph_agent | ✅ Model supports tool calling (80 tools bound)
2026-02-24 09:21:22 | INFO | agenticNet.langgraph_agent | ✅ Model supports tool calling (80 tools bound)
2026-02-24 09:22:03 | INFO | agenticNet.langgraph_agent | ✅ Model supports tool calling (80 tools bound)
2026-02-24 09:26:22 | INFO | agenticNet.langgraph_agent | ✅ Model supports tool calling (80 tools bound)
2026-02-24 09:26:26 | INFO | agenticNet.langgraph_agent | ✅ Model supports tool calling (80 tools bound)
2026-02-24 09:27:14 | INFO | agenticNet.langgraph_agent | ✅ Model supports tool calling (80 tools bound)
2026-02-24 09:30:22 | INFO | agenticNet.langgraph_agent | ✅ Model supports tool calling (80 tools bound)
2026-02-24 09:31:09 | INFO | agenticNet.langgraph_agent | ✅ Model supports tool calling (80 tools bound)
2026-02-24 09:32:03 | INFO | agenticNet.langgraph_agent | ✅ Model supports tool calling (80 tools bound)
2026-02-24 09:32:43 | INFO | agenticNet.langgraph_agent | ✅ Model supports tool calling (80 tools bound)
